last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0.59,2,91,2,0,1,0,sales,low
0.84,5,254,6,0,1,0,sales,medium
0.96,7,203,3,0,1,0,sales,medium
1.0,5,186,6,0,1,0,sales,low
0.49,3,138,2,0,1,0,sales,low
0.47,1,158,4,0,1,0,sales,low
0.96,5,283,4,0,1,0,sales,low
0.94,6,283,6,0,1,0,sales,low
0.94,5,183,4,0,1,0,sales,low
0.6,1,129,1,0,1,0,sales,low
0.48,2,138,1,0,1,0,sales,low
0.75,6,296,7,0,1,0,sales,low
0.95,5,225,4,0,1,0,sales,low
0.32,3,88,4,0,1,0,sales,low
0.35,3,97,2,0,1,0,sales,low
0.47,3,129,3,0,1,0,sales,low
0.35,3,52,3,0,1,0,sales,low
1.0,3,277,9,0,1,0,sales,low
0.4,2,112,3,1,1,1,sales,low
0.72,4,286,4,0,1,0,sales,low
1.0,6,303,4,0,1,0,sales,low
0.52,3,128,2,0,1,0,sales,low
0.96,6,339,4,0,1,0,sales,low
0.4,3,165,3,0,1,0,sales,low
0.46,1,147,2,0,1,0,sales,low
0.93,5,227,6,0,1,0,sales,low
0.73,3,277,5,0,1,0,sales,low
0.54,2,143,4,0,1,0,sales,low
0.39,3,165,5,0,1,0,accounting,low
0.47,2,50,2,0,1,0,accounting,low
0.55,6,297,4,0,1,0,accounting,low
0.79,1,79,2,0,1,0,hr,low
0.51,1,144,4,0,1,0,hr,low
0.42,2,165,2,0,1,0,hr,low
0.97,6,307,6,0,1,0,hr,low
0.79,5,222,5,0,1,0,technical,low
0.49,3,119,2,0,1,0,technical,low
0.27,2,123,3,0,1,0,technical,low
0.73,5,272,5,0,1,0,technical,low
0.56,1,186,4,0,1,0,technical,low
0.97,5,267,6,0,1,0,technical,low
0.5,2,162,3,0,1,0,technical,low
0.45,1,149,2,0,1,0,technical,low
0.76,6,278,3,0,1,0,technical,low
0.71,5,247,3,0,1,0,technical,low
0.65,3,180,5,0,1,0,technical,low
0.49,2,117,3,0,1,0,support,low
0.83,3,277,5,0,1,0,support,low
0.58,2,183,3,0,1,0,support,low
0.26,3,106,3,0,1,0,support,low
0.82,6,98,2,0,1,0,support,low
0.5,2,137,2,0,1,0,support,low
0.47,3,107,5,0,1,0,support,low
0.61,1,133,2,0,1,0,support,low
1.0,7,318,5,0,1,0,support,low
